date,price,volume,temperature
2022-01-01,3.45,12500,35
2022-01-02,3.52,13200,32
2022-01-03,3.48,12800,34
2022-01-04,3.55,13500,31
2022-01-05,3.62,14000,28
2022-01-06,3.68,14200,26
2022-01-07,3.71,14500,25
2022-01-08,3.65,14100,27
2022-01-09,3.58,13600,30
2022-01-10,3.54,13300,32
2022-01-11,3.51,13000,33
2022-01-12,3.49,12900,34
2022-01-13,3.52,13100,33
2022-01-14,3.56,13400,31
2022-01-15,3.61,13800,29
2022-01-16,3.59,13700,30
2022-01-17,3.54,13200,32
2022-01-18,3.48,12700,35
2022-01-19,3.44,12400,37
2022-01-20,3.41,12200,38
2022-01-21,3.38,12000,40
2022-01-22,3.35,11800,41
2022-01-23,3.32,11600,42
2022-01-24,3.36,11900,40
2022-01-25,3.41,12300,38
2022-01-26,3.45,12600,36
2022-01-27,3.50,13000,34
2022-01-28,3.54,13300,32
2022-01-29,3.58,13600,31
2022-01-30,3.62,13900,29
2022-01-31,3.65,14100,28
2022-02-01,3.68,14300,27
2022-02-02,3.72,14600,25
2022-02-03,3.75,14800,24
2022-02-04,3.78,15000,23
2022-02-05,3.74,14700,25
2022-02-06,3.70,14400,27
2022-02-07,3.66,14100,29
2022-02-08,3.62,13800,31
2022-02-09,3.58,13500,33
2022-02-10,3.54,13200,35
2022-02-11,3.50,12900,37
2022-02-12,3.46,12600,39
2022-02-13,3.42,12300,41
2022-02-14,3.39,12100,42
2022-02-15,3.36,11900,43
2022-02-16,3.33,11700,44
2022-02-17,3.30,11500,45
2022-02-18,3.28,11400,46
2022-02-19,3.26,11300,47
2022-02-20,3.24,11200,48
2022-02-21,3.22,11100,48
2022-02-22,3.20,11000,49
2022-02-23,3.18,10900,49
2022-02-24,3.16,10800,50
2022-02-25,3.15,10750,50
2022-02-26,3.14,10700,51
2022-02-27,3.13,10650,51
2022-02-28,3.12,10600,52
2022-03-01,3.10,10500,53
2022-03-02,3.08,10400,54
2022-03-03,3.06,10300,55
2022-03-04,3.04,10200,56
2022-03-05,3.02,10100,57
2022-03-06,3.00,10000,58
2022-03-07,2.98,9900,59
2022-03-08,2.96,9800,60
2022-03-09,2.94,9700,61
2022-03-10,2.92,9600,62
2022-03-11,2.90,9500,63
2022-03-12,2.88,9400,64
2022-03-13,2.86,9300,65
2022-03-14,2.85,9250,65
2022-03-15,2.84,9200,66
2022-03-16,2.83,9150,66
2022-03-17,2.82,9100,67
2022-03-18,2.81,9050,67
2022-03-19,2.80,9000,68
2022-03-20,2.79,8950,68
2022-03-21,2.78,8900,69
2022-03-22,2.77,8850,69
2022-03-23,2.76,8800,70
2022-03-24,2.75,8750,70
2022-03-25,2.74,8700,71
2022-03-26,2.73,8650,71
2022-03-27,2.72,8600,72
2022-03-28,2.71,8550,72
2022-03-29,2.70,8500,73
2022-03-30,2.69,8450,73
2022-03-31,2.68,8400,74
